COUNTRY,REGION,REGION-DESC,REGION-CODE
fra,p,basse-normandie,9961
fra,q,haute-normandie,9964
fra,r,pays de la loire,9967
fra,s,picardie,9970
fra,t,poitou-charentes,9974
fra,u,provence-alpes-cote-d'azur,9976
fra,v,rhone-alpes,9983
fro,?,faroe islands,239
fro,no region,faroe islands,15855
fsm,?,micronesia - federated states o,340
fsm,no region,micronesia - federated states o,11743
gab,?,gabon,591
gab,no region,gabon,11744
gbr,?,united kingdom,69
gbr,aol,aol,23759
gbr,eng,england,10198
gbr,nir,northern ireland,10358
gbr,sct,scotland,10361
gbr,wls,wales,10375
geo,?,georgia,241
geo,no region,georgia,11746
ggy,?,?,24305
ggy,no region,guernsey,24306
gha,?,ghana,364
gha,no region,ghana,11749
gib,?,gibraltar,347
gib,no region,gibraltar,7287
gin,?,guinea,781
gin,no region,guinea,11750
glp,?,guadeloupe,592
glp,no region,guadeloupe,12776
gmb,?,gambia,4031
gmb,no region,gambia,11751
gnb,?,guinea-bissau,2437
gnb,no region,guinea-bissau,23751
gnq,?,equatorial guinea,2364
gnq,no region,equatorial guinea,24318
grc,01,aitolia-akarnania,14844
grc,03,voiotia,24958
grc,04,evvoia,15856
grc,05,evrytania,24957
grc,06,fthiotis,14845
grc,07,fokis,15857
grc,11,argolis,19894
grc,12,arkadia,14846
grc,13,achaia,14847
grc,14,ileia,19897
grc,15,korinthia,14848
grc,16,lakonia,19899
grc,17,messinia,14851
grc,21,zakynthos,14854
grc,22,kerkyra,19900
grc,23,kefallinia,14855
grc,24,lefkas,15858
grc,31,arta,19901
grc,32,thesprotia,14856
grc,33,ioannina,14857
grc,34,preveza,23763
grc,41,karditsa,19902
grc,42,larisa,11754
grc,43,magnisia,11757
grc,44,trikala,14861
grc,51,grevena,23762
grc,52,drama,14862
grc,53,imathia,14864
grc,54,thessaloniki,11756
grc,55,kavalla,14867
grc,56,kastoria,14868
grc,57,kilkis,14869
grc,58,kozani,14870
grc,59,pella,14871
grc,61,pieria,25057
grc,62,serrai,19907
grc,63,florina,23764
grc,64,chalkidiki,19908
grc,69,agio oros,24956
grc,71,evros,19909
grc,72,xanthi,14872
grc,73,rodopi,14873
grc,81,dodekanisos,12521
grc,82,kyklades,14874
grc,83,lesvos,19913
grc,84,samos,14878
grc,85,chios,11752
grc,91,irakleion,11753
grc,92,lasithion,19915
grc,93,rethymnon,19916
grc,94,chania,14881
grc,?,greece,209
grc,a1,attiki,12522
grd,?,grenada,23768
grd,no region,grenada,7301
grl,?,greenland,523
grl,no region,greenland,7302
gtm,?,guatemala,496
gtm,no region,guatemala,7303
guf,?,french guiana,582
guf,no region,french guiana,12772
gum,?,guam,568
gum,no region,guam,7305
guy,?,guyana,590
guy,no region,guyana,11761
hkg,?,hong kong,389
hkg,no region,hong kong,7310
hmd,?,heard and mc donald islands,5020
hnd,?,honduras,381
hnd,no region,honduras,11762
hrv,01,zagrebacka,11769
hrv,02,krapinako-zagorska,24703
hrv,03,sisasko-moelavacka,24707
hrv,04,karlovacka,24702
hrv,05,varaidinska,24420
hrv,06,koprivoickco-krizevaka,23828
hrv,07,bjelovarsko-bilogorska,24701
hrv,08,primorsko-goranska,11767
hrv,09,licko-senjska,24704
hrv,10,virovitieko-podravska,24708
hrv,11,pozesko-slavonska,24706
hrv,12,brodsko-posavska,24965
hrv,13,zadaraka,14885
hrv,14,osjecko-baranjska,11766
hrv,15,sibenako-kninska,24700
hrv,16,vurovarako-srijemska,19935
hrv,17,splitako-dalmatinska,11768
hrv,18,istarska,24315
hrv,19,dubrovacko-neretvanska,14887
hrv,20,medjimuraka,24705
hrv,?,croatia (local name - hrvatska),248
hti,?,haiti,802
hti,no region,haiti,11770
hun,?,hungary,212
hun,ba,baranya,11784
hun,be,bekes,19938
hun,bk,bacs-kiskun,11771
hun,bu,budapest,11773
hun,bz,borsod-abauj-zemplen,11781
hun,cs,csongrad,11785
hun,fe,fejer,19947
hun,gs,gyor-moson-sopron,19948
hun,hb,hajdu-bihar,11774
hun,he,heves,11775
hun,jn,jasz-nagykun-szolnok,11788
hun,ke,komarom-esztergom,11776
hun,no,nograd,11772
hun,pe,pest,11777
hun,so,somogy,15865
hun,sz,szabolcs-szatmar-bereg,11783
hun,to,tolna,19961
hun,va,vas,11789
hun,ve,veszprem,11790
hun,za,zala,11791
idn,?,indonesia,539
idn,ac,aceh sm,23863
idn,ba,bali,11798
idn,be,bengkulu,23911
idn,ja,jambi,11801
idn,jb,jawa barat,11793
idn,ji,jawa timur,11802
idn,jk,jakarta raya,11800
idn,jt,jawa tengah,11808
idn,kb,kalimantan barat,23912
idn,ki,kalimantan timur,11792
idn,ks,kalimantan selatan,11794
idn,kt,kalimantan tengah,23913
idn,la,lampung,19970
idn,ma,maluku,23914
idn,nb,nusa tenggara barat,11804
idn,nt,nusa tenggara timur,23915
idn,ri,risu,19971
idn,sa,sulawesi utara,11795
idn,sb,sumatera barat,23962
idn,sg,sulawesi tenogara,23916
idn,sn,sulawesi selatan,11806
idn,ss,sumatera selatan,11807
idn,st,sulawesi tengah,23917
idn,su,sumatera utara,11805
idn,yo,yogyakarta jw,11815
imn,?,?,24303
imn,no region,isle of man,24308
ind,?,india,297
ind,an,andaman and nicobar islands,9992
ind,ap,andhra pradesh,9994
ind,ar,arunachal pradesh,23842
ind,as,assam,9997
ind,br,bihar,9998
ind,ch,chandigarh,24520
ind,dd,daman and diu,24799
ind,dl,delhi,9999
ind,dn,dadra and nagar haveli,24802
ind,ga,goa,23819
ind,gj,gujarat,10002
ind,hp,himachal pradesh,24787
ind,hr,haryana,10008
ind,jk,jammu and kashmir,18194
ind,ka,karnataka,10011
ind,kl,kerala,10018
ind,ld,lakshadweep,24801
ind,mh,maharashtra,1320
ind,ml,meghalaya,10026
ind,mn,manipur,24803
ind,mp,madhya pradesh,10027
ind,mz,mizoram,24800
ind,nl,nagaland,24792
ind,or,orissa,10030
ind,pb,punjab,10031
ind,py,pondicherry,10034
ind,rj,rajasthan,10035
ind,sk,sikkim,24804
ind,tn,tamil nadu,10036
ind,tr,tripura,10043
ind,up,uttar pradesh,10044
ind,wb,west bengal,1309
iot,?,british indian ocean territory,5075
iot,no region,british indian ocean territory,10378
irl,?,ireland,210
irl,c,cork,11824
irl,ce,clare,19974
irl,cn,cavan,11843
irl,cw,carlow,11820
irl,d,dublin,19982
irl,dl,donegal,11825
irl,g,galway,11821
irl,ke,kildare,11837
irl,kk,kilkenny,11832
irl,ky,kerry,11842
irl,ld,longford,24109
irl,lh,louth,11826
irl,lk,limerick,11834
irl,lm,leitrim,24110
irl,ls,laois,19996
irl,mh,meath,11831
irl,mn,monaghan,19997
irl,mo,mayo,11822
irl,oy,offaly,11819
irl,rn,roscommon,19999
irl,so,sligo,11841
irl,ta,tipperary,11823
irl,wd,waterford,11828
irl,wh,westmeath,11817
irl,ww,wicklow,11816
irl,wx,wexford,11829
irn,01,azarbaijan-e sharqi,11857
irn,02,azarbayjan-e-gharbi,23787
irn,03,ardabll,24908
irn,04,esfahan,11848
irn,05,ilam,23790
irn,06,buahahr,23804
irn,07,tehran,11854
irn,08,chahar mahall va bakhtlari,23788
irn,09,khorasan,11852
irn,10,khuzestan,11846
irn,11,zanjan,11853
irn,12,semnan,23791
irn,13,sistan va baluchestan,11860
irn,14,fars,11856
irn,15,kerman,11850
irn,16,kordeatan,23805
irn,17,kermanshahan,11851
irn,18,kohkiluyeh va buyer ahmadi,23910
irn,19,gilan,23792
irn,20,lorestan,23789
irn,21,mazandaran,11847
irn,22,markazi,23793
irn,23,hormozgan,14890
irn,24,hamadan,11849
irn,25,yazd,11859
irn,26,qom,24932
irn,?,iran (islamic republic of),522
irq,?,iraq,23767
irq,no region,iraq,11862
isl,?,iceland,228
isl,no region,iceland,11863
isr,?,israel,213
isr,d,hadarom,11864
isr,ha,hefa,3687
isr,jm,yerushalayim al quds,11874
isr,m,hamerkaz,11881
isr,ta,tel-aviv,11867
isr,z,hazafon,11872
ita,?,italy,214
ita,ag,agrigento,10809
ita,al,alessandria,10811
ita,an,ancona,10813
ita,ao,aosta,10814
ita,ap,ascoli piceno,10816
ita,aq,l'aquila,10819
ita,ar,arezzo,10815
ita,at,asti,10817
ita,av,avellino,10818
ita,ba,bari,10820
ita,bg,bergamo,10824
ita,bi,biella,10825
ita,bl,belluno,10822
ita,bn,benevento,10823
ita,bo,bologna,1316
ita,br,brindisi,10829
ita,bs,brescia,10828
ita,bt,barletta-andria-trani,25115
ita,bz,bolzano,10826
ita,ca,cagliari,10830
ita,cb,campobasso,10832
ita,ce,caserta,10833
ita,ch,chieti,10839
ita,ci,carbonia-iglesias,25107
ita,cl,caltanissetta,10831
ita,cn,cuneo,10810
ita,co,como,10842
ita,cr,cremona,10844
ita,cs,cosenza,10843
ita,ct,catania,10834
ita,cz,catanzaro,10835
ita,en,enna,10847
ita,fc,forli-cesena,25109
ita,fe,ferrara,10836
ita,fg,foggia,10850
ita,fi,firenze,10849
ita,fm,fermo,25108
ita,fo,forli,10838
ita,fr,frosinone,10812
ita,ge,genova,10853
ita,go,gorizia,10854
ita,gr,grosseto,10856
ita,im,imperia,10857
ita,is,isernia,10858
ita,kr,crotone,10845
ita,lc,lecco,10866
ita,le,lecce,10865
ita,li,livorno,10867
ita,lo,lodi,10868
ita,lt,latina,10864
ita,lu,lucca,10869
ita,mb,monza and brianza,25111
ita,mc,macerata,10871
ita,me,messina,10875
ita,mi,milano,3996
ita,mn,mantova,10872
ita,mo,modena,10877
ita,ms,massa,15019
ita,mt,matera,10874
ita,na,napoli,10881
ita,no,novara,10884
ita,nu,nuoro,10885
ita,og,ogliastra,25112
ita,or,oristano,10886
ita,ot,olbia-tempio,25113
ita,pa,palermo,10888
ita,pc,piacenza,10894
ita,pd,padova,10841
ita,pe,pescara,10893
ita,pg,perugia,10891
ita,pi,pisa,10896
ita,pn,pordenone,10898
ita,po,prato,10901
ita,pr,parma,10889
ita,ps,pesaro,10892
ita,pt,pistoia,10897
ita,pu,pesaro and urbino,25114
ita,pv,pavia,10890
ita,pz,potenza,10899
ita,ra,ravenna,10903
ita,rc,reggio calabria,10904
ita,re,reggio emilia,10905
ita,rg,ragusa,10902
ita,ri,rieti,10907
ita,rm,roma,10837
ita,rn,rimini,3962
ita,ro,rovigo,10911
ita,sa,salerno,10912
ita,si,siena,10919
ita,so,sondrio,10921
ita,sp,la spezia,10860
ita,sr,siracusa,10920
ita,ss,sassari,10915
ita,sv,savona,10917
ita,ta,taranto,10922
ita,te,teramo,10923
ita,tn,trento,10873
ita,to,torino,10840
ita,tp,trapani,10928
ita,tr,terni,10924
ita,ts,trieste,10932
ita,tv,treviso,10878
ita,ud,udine,10934
ita,va,varese,10935
ita,vb,verbano-cusio-ossola,10937
ita,vc,vercelli,10827
ita,ve,venezia,10936
ita,vi,vicenza,10821
ita,vr,verona,10939
ita,vs,medio campidano,25110
ita,vt,viterbo,10942
ita,vv,viba valentia,23783
jam,?,jamaica,662
jam,no region,jamaica,7674
jey,?,?,24304
jey,no region,jersey,24309
jor,?,jordan,231
jor,no region,jordan,11891
jpn,01,hokkaido,9414
jpn,02,aomori,9425
jpn,03,iwate,9429
jpn,04,miyagi,9431
jpn,05,akita,9433
jpn,06,yamagata,9434
jpn,07,fukushima,9437
jpn,08,ibaraki,9440
jpn,09,tochigi,9449
jpn,10,gunma,9454
jpn,11,saitama,9459
jpn,12,chiba,9476
jpn,13,tokyo,9492
jpn,14,kanagawa,9515
jpn,15,niigata,9528
jpn,16,toyama,9533
jpn,17,ishikawa,9536
jpn,18,fukui,9538
jpn,19,yamanashi,9540
jpn,20,nagano,9542
