ASN,ORGANIZATION
1169,surfnet bv
1170,surfnet bv
1171,surfnet bv
1172,surfnet bv
1173,surfnet bv
1174,surfnet bv
1175,surfnet bv
1176,surfnet bv
1177,surfnet bv
1178,surfnet bv
1179,surfnet bv
1180,surfnet bv
1181,surfnet bv
1182,surfnet bv
1183,surfnet bv
1184,surfnet bv
1185,surfnet bv
1186,surfnet bv
1187,surfnet bv
1188,surfnet bv
1189,surfnet bv
1190,surfnet-ctit-qbone-as
1191,surfnet bv
1192,surfnet bv
1193,surfnet bv
1194,surfnet bv
1195,surfnet bv
1196,surfnet bv
1197,network ability limited
1198,belsurf
1199,triangle
1200,amsterdam internet exchange b.v.
1201,old dominion university
1202,national aeronautics and space administration
1203,italtel sit
1204,state university of new york central
1205,johannes kepler university
1206,pittsburgh supercomputing center
1207,pittsburgh supercomputing center
1208,navy network information center
1209,navy network information center
1210,headquarters usaisc
1211,headquarters usaisc
1212,headquarters usaisc
1213,heanet limited
1214,reserved
1215,oracle corporation
1216,oracle corporation
1217,oracle corporation
1218,oracle corporation
1219,oracle corporation
1220,infonet services corporation
1221,telstra pty ltd
1222,el paso community college
1223,advanced information technology services llc
1224,national center for supercomputing applications
1225,ntt america inc.
1226,teale data center
1227,san diego supercomputer center
1228,african network information center
1229,african network information center
1230,african network information center
1231,african network information center
1232,african network information center
1233,national space development agency
1234,fortum
1235,universite de rennes1
1236,general dynamics c4 systems inc.
1237,korea institute of science and technology information
1238,us sprint
1239,sprint
1240,sprint
1241,forthnet
1242,754th electronic systems group
1243,headquarters usaisc
1244,amoco corporation
1245,754th electronic systems group
1246,windjammer communications llc
1247,dod network information center
1248,nokia internet
1249,five colleges network
1250,national university of singapore
1251,fundacao de amparo a pesquisa do estado de sao paulo
1252,university of nebraska medical center
1253,the national board of taxation
1254,national aeronautics and space administration
1255,smith college information systems
1256,massachusetts education computer network
1257,tele2 group
1258,xkl llc
1259,headquarters usaisc
1260,754th electronic systems group
1261,national instruments corporation
1262,national aeronautics and space administration
1263,national aeronautics and space administration
1264,headquarters usaisc
1265,saint mary s college
1266,navy network information center
1267,wind telecomunicazioni s.p.a.
1268,infostrada s.p.a.
1269,italian unix network
1270,uunet germany
1271,experimental gaipde
1272,universitaet konstanz
1273,cable and wireless worldwide plc
1274,fhg institutszentrum birlinghoven
1275,dfn-ip service and dfn customer networks
1276,advanced technology services
1277,fibermedia ait llc.
1278,union carbide corporation
1279,mcdonnell douglas information systems international
